A/C,N,O,R,RU,U,UO,RO
housedust HR,0.149825784,0.135888502,0.139372822,0.181184669,0.111498258,0.135888502,0.146341463
housedust LR,0.075268817,0.161290323,0.225806452,0.096774194,0.129032258,0.204301075,0.107526882
housedust MR,0.174377224,0.12455516,0.135231317,0.110320285,0.160142349,0.135231317,0.160142349
housedust NR,0.074626866,0.223880597,0.074626866,0.179104478,0.223880597,0.119402985,0.104477612
cottondust LR,0.169014085,0.112676056,0.112676056,0.147887324,0.211267606,0.169014085,0.077464789
cottondust HR,0.15625,0.1015625,0.125,0.15625,0.1640625,0.2109375,0.0859375
cottondust MR,0.113636364,0.147727273,0.159090909,0.170454545,0.098484848,0.125,0.185606061
cottondust KR,0,0,1,0,0,0,0
cottondust NR,0.155440415,0.186528497,0.150259067,0.093264249,0.139896373,0.103626943,0.170984456
aspergilus LR,0.115384615,0.176923077,0.153846154,0.061538462,0.169230769,0.146153846,0.176923077
aspergilus HR,0.129251701,0.204081633,0.136054422,0.12244898,0.102040816,0.108843537,0.197278912
aspergilus MR,0.160784314,0.105882353,0.141176471,0.207843137,0.149019608,0.133333333,0.101960784
aspergilus KR,0.222222222,0,0.222222222,0.222222222,0,0.333333333,0
aspergilus NR,0.144385027,0.128342246,0.139037433,0.122994652,0.155080214,0.171122995,0.139037433
pollen LR,0.150943396,0.056603774,0.198113208,0.132075472,0.141509434,0.198113208,0.122641509
pollen HR,0.112903226,0.161290323,0.129032258,0.141129032,0.116935484,0.161290323,0.177419355
pollen MR,0.167721519,0.129746835,0.129746835,0.161392405,0.164556962,0.120253165,0.126582278
pollen KR,0,0.25,0.25,0.5,0,0,0
pollen NR,0.12962963,0.296296296,0.166666667,0.037037037,0.148148148,0.092592593,0.12962963
parthenium LR,0.156862745,0.137254902,0.176470588,0.196078431,0.196078431,0.137254902,0
parthenium HR,0.140435835,0.13559322,0.128329298,0.150121065,0.118644068,0.157384988,0.169491525
parthenium MR,0.152173913,0.152173913,0.160869565,0.108695652,0.165217391,0.130434783,0.130434783
parthenium KR,0,1,0,0,0,0,0
parthenium NR,0.090909091,0.151515152,0.151515152,0.212121212,0.212121212,0.060606061,0.121212121
cockroach LR,0.02247191,0.168539326,0.123595506,0.292134831,0.157303371,0.08988764,0.146067416
