A/C,N,O,R,RU,U,UO,RO
housedust HR,0.000649076,0.000588697,0.000603792,0.000784929,0.000483033,0.000588697,0.000633981
housedust LR,0.000105664,0.000226422,0.000316991,0.000135853,0.000181138,0.000286801,0.000150948
housedust MR,0.000739645,0.000528318,0.000573602,0.000467939,0.000679266,0.000573602,0.000679266
housedust NR,7.55E-05,0.000226422,7.55E-05,0.000181138,0.000226422,0.000120758,0.000105664
cottondust LR,0.000362275,0.000241517,0.000241517,0.000316991,0.000452844,0.000362275,0.000166043
cottondust HR,0.000301896,0.000196232,0.000241517,0.000301896,0.000316991,0.000407559,0.000166043
cottondust MR,0.000452844,0.000588697,0.000633981,0.000679266,0.000392465,0.000498128,0.000739645
cottondust KR,0,0,1.51E-05,0,0,0,0
cottondust NR,0.000452844,0.000543413,0.000437749,0.000271706,0.000407559,0.000301896,0.000498128
aspergilus LR,0.000226422,0.00034718,0.000301896,0.000120758,0.000332085,0.000286801,0.00034718
aspergilus HR,0.000286801,0.000452844,0.000301896,0.000271706,0.000226422,0.000241517,0.000437749
aspergilus MR,0.000618887,0.000407559,0.000543413,0.000800024,0.000573602,0.000513223,0.000392465
aspergilus KR,3.02E-05,0,3.02E-05,3.02E-05,0,4.53E-05,0
aspergilus NR,0.000407559,0.000362275,0.000392465,0.00034718,0.000437749,0.000483033,0.000392465
pollen LR,0.000241517,9.06E-05,0.000316991,0.000211327,0.000226422,0.000316991,0.000196232
pollen HR,0.000422654,0.000603792,0.000483033,0.000528318,0.000437749,0.000603792,0.000664171
pollen MR,0.000800024,0.000618887,0.000618887,0.000769835,0.000784929,0.000573602,0.000603792
pollen KR,0,1.51E-05,1.51E-05,3.02E-05,0,0,0
pollen NR,0.000105664,0.000241517,0.000135853,3.02E-05,0.000120758,7.55E-05,0.000105664
parthenium LR,0.000120758,0.000105664,0.000135853,0.000150948,0.000150948,0.000105664,0
parthenium HR,0.000875498,0.000845309,0.000800024,0.000935877,0.000739645,0.000981162,0.001056636
parthenium MR,0.000528318,0.000528318,0.000558507,0.00037737,0.000573602,0.000452844,0.000452844
parthenium KR,0,1.51E-05,0,0,0,0,0
parthenium NR,4.53E-05,7.55E-05,7.55E-05,0.000105664,0.000105664,3.02E-05,6.04E-05
cockroach LR,3.02E-05,0.000226422,0.000166043,0.000392465,0.000211327,0.000120758,0.000196232
cockroach HR,0.001026446,0.000573602,0.000694361,0.000664171,0.000679266,0.000664171,0.000815119
cockroach MR,0.000467939,0.000573602,0.000603792,0.000483033,0.000513223,0.000664171,0.000362275
cockroach KR,0,1.51E-05,1.51E-05,0,0,0,0
cockroach NR,4.53E-05,0.000181138,9.06E-05,3.02E-05,0.000166043,0.000120758,0.000196232
catdander LR,0,6.04E-05,3.02E-05,3.02E-05,3.02E-05,0,1.51E-05
catdander HR,0,0,0,0,0,0,3.02E-05
catdander KR,0.001418911,0.0014491,0.0014491,0.001464195,0.0014491,0.0014491,0.001358532
catdander MR,0,0,0,1.51E-05,1.51E-05,0,0
catdander NR,0.000150948,6.04E-05,9.06E-05,6.04E-05,7.55E-05,0.000120758,0.000166043
dosfur LR,0.000120758,3.02E-05,3.02E-05,0.000150948,3.02E-05,0.000135853,0.000105664
dosfur HR,1.51E-05,1.51E-05,1.51E-05,3.02E-05,0,1.51E-05,0
dosfur KR,0.001328342,0.001373626,0.001373626,0.001283058,0.001494385,0.001358532,0.001252868
dosfur MR,3.02E-05,9.06E-05,3.02E-05,3.02E-05,1.51E-05,3.02E-05,0.000166043
dosfur NR,7.55E-05,6.04E-05,0.000120758,7.55E-05,3.02E-05,3.02E-05,4.53E-05
roaddust LR,0.000105664,0.000135853,0.000150948,0.000120758,0.000120758,0.000120758,0.000150948
roaddust HR,0,1.51E-05,0,0,1.51E-05,0,1.51E-05
roaddust KR,0.000875498,0.000120758,0.000120758,0.000105664,0.000105664,0.000150948,0.000135853
roaddust MR,0,4.53E-05,9.06E-05,9.06E-05,3.02E-05,0.000105664,9.06E-05
roaddust NR,0.000588697,0.001252868,0.001207584,0.001252868,0.001298152,0.001192489,0.001177394
oldpdust LR,3.02E-05,6.04E-05,3.02E-05,1.51E-05,9.06E-05,0.000105664,6.04E-05
oldpdust HR,0,1.51E-05,0,3.02E-05,0,0,0
oldpdust KR,0.00150948,0.001388721,0.001388721,0.001373626,0.001298152,0.001328342,0.001358532
oldpdust MR,0,0,0,3.02E-05,3.02E-05,0,0.000105664
oldpdust NR,3.02E-05,0.000105664,0.000150948,0.000120758,0.000150948,0.000135853,4.53E-05
PSdust LR,9.06E-05,0.000135853,0.000150948,0.000150948,0.000271706,0.000196232,6.04E-05
PSdust HR,0,0,4.53E-05,1.51E-05,3.02E-05,0,3.02E-05
PSdust MR,4.53E-05,0.000181138,6.04E-05,0.000105664,0.000105664,0.000105664,3.02E-05
PSdust KR,0.000935877,0.000588697,0.000679266,0.000558507,0.000679266,0.000422654,0.000633981
PSdust NR,0.000498128,0.000664171,0.000633981,0.000739645,0.000483033,0.000845309,0.000815119
MilkP LR,3.02E-05,0.000135853,0.000120758,0.000211327,0.000166043,0.000196232,3.02E-05
MilkP HR,0,6.04E-05,3.02E-05,3.02E-05,3.02E-05,0,1.51E-05
MilkP MR,4.53E-05,0.000120758,0.000150948,7.55E-05,6.04E-05,0.000105664,1.51E-05
MilkP KR,0.0014491,0.000966067,0.00107173,0.00110192,0.001086825,0.00107173,0.001086825
MilkP NR,4.53E-05,0.000286801,0.000196232,0.000150948,0.000226422,0.000196232,0.000422654
MilkC LR,0.000150948,0.000226422,0.000226422,0.000301896,0.00034718,0.000181138,0.000316991
MilkC HR,1.51E-05,0.000150948,4.53E-05,6.04E-05,6.04E-05,0.000150948,3.02E-05
MilkC KR,0.00107173,0.000784929,0.000800024,0.000905688,0.00072455,0.00075474,0.000890593
MilkC MR,7.55E-05,9.06E-05,0.000181138,0.000105664,0.000196232,0.000181138,0.000135853
MilkC NR,0.000256612,0.000316991,0.000316991,0.000196232,0.000241517,0.000301896,0.000196232
curd LR,0.000120758,4.53E-05,7.55E-05,4.53E-05,6.04E-05,0.000135853,3.02E-05
curd KR,0.001388721,0.001313247,0.001343437,0.001267963,0.001343437,0.001298152,0.001418911
curd NR,4.53E-05,0.000166043,0.000150948,0.000256612,0.000120758,7.55E-05,9.06E-05
curd MR,1.51E-05,4.53E-05,0,0,4.53E-05,6.04E-05,3.02E-05
coffee LR,9.06E-05,0.000166043,0.000241517,0.000286801,0.000226422,0.000196232,0.000271706
coffee HR,7.55E-05,4.53E-05,1.51E-05,3.02E-05,4.53E-05,3.02E-05,3.02E-05
coffee KR,0.000996256,0.000603792,0.000528318,0.000528318,0.000528318,0.000633981,0.000467939
coffee MR,6.04E-05,0.000135853,0.000135853,0.000150948,0.000196232,0.000196232,0.000166043
coffee NR,0.00034718,0.000618887,0.000649076,0.000573602,0.000573602,0.000513223,0.000633981
tea LR,4.53E-05,7.55E-05,0.000135853,0.000135853,0.000181138,0.000211327,0.000181138
tea HR,3.02E-05,3.02E-05,1.51E-05,1.51E-05,4.53E-05,0,3.02E-05
tea MR,0.000150948,0.000120758,0.000166043,0.000181138,0.000211327,0.000120758,6.04E-05
tea KR,0.00110192,0.000769835,0.000784929,0.000679266,0.000618887,0.000679266,0.000709455
tea NR,0.000241517,0.000573602,0.000467939,0.000558507,0.000513223,0.000558507,0.000588697
beef LR,7.55E-05,0.000181138,0.000211327,0.000256612,0.000241517,0.000226422,7.55E-05
beef HR,9.06E-05,1.51E-05,4.53E-05,0,3.02E-05,1.51E-05,9.06E-05
beef KR,0.001041541,0.000483033,0.000362275,0.000498128,0.000467939,0.00037737,0.000437749
beef MR,1.51E-05,0.000150948,0.000120758,0.000241517,0.000135853,0.000241517,0.000166043
beef NR,0.00034718,0.000739645,0.000830214,0.000573602,0.000694361,0.000709455,0.000800024
chicken LR,9.06E-05,0.000316991,0.000316991,0.000392465,0.00034718,0.000407559,0.000241517
chicken HR,0,1.51E-05,0,1.51E-05,1.51E-05,0,0
chicken MR,0.000196232,0.000120758,9.06E-05,0.000135853,0.000196232,7.55E-05,0.000181138
chicken KR,0.001117015,0.000588697,0.000483033,0.000452844,0.000467939,0.000498128,0.000543413
chicken NR,0.000166043,0.000528318,0.000679266,0.000573602,0.000543413,0.000588697,0.000603792
mutton LR,0.000135853,0.000120758,0.000166043,0.000150948,0.000316991,4.53E-05,0.000181138
mutton HR,0,0,1.51E-05,0,1.51E-05,0,0
mutton MR,0,6.04E-05,4.53E-05,0.000105664,4.53E-05,9.06E-05,7.55E-05
mutton KR,0.001222678,0.000784929,0.00072455,0.000679266,0.000664171,0.000845309,0.000800024
mutton NR,0.000211327,0.000603792,0.000618887,0.000633981,0.000528318,0.000588697,0.000513223
egg LR,3.02E-05,0.000120758,7.55E-05,0.000196232,0.000120758,9.06E-05,0.000120758
egg HR,0,4.53E-05,3.02E-05,4.53E-05,1.51E-05,6.04E-05,1.51E-05
egg KR,0.001434006,0.001177394,0.00110192,0.000966067,0.00113211,0.001056636,0.00110192
egg MR,7.55E-05,1.51E-05,0.000105664,0.000105664,6.04E-05,0.000211327,0.000211327
egg NR,3.02E-05,0.000211327,0.000256612,0.000256612,0.000241517,0.000150948,0.000120758
fishA LR,0.000105664,0.000150948,0.000211327,0.000226422,0.000150948,0.000166043,0.000196232
