A/C,R,O,N,RU,U,UO,RO
housedust HR,0.000847637,0.0004995,0.000196773,0.000726546,0.000923319,0.000514637,0.000560046
housedust LR,0.000317864,0.000196773,6.05E-05,6.05E-05,0.000348137,0.000242182,0.000105955
housedust MR,0.000908183,0.000484364,0.000333,0.000514637,0.001150365,0.000454091,0.0004995
housedust NR,0.000105955,0.000181637,4.54E-05,0.000136227,0.000438955,4.54E-05,9.08E-05
cottondust LR,0.000348137,0.000227046,0.0001665,0.000272455,0.000650864,0.000242182,0.000181637
cottondust HR,0.000333,0.0001665,9.08E-05,0.000272455,0.000575182,0.000333,0.000105955
cottondust MR,0.000832501,0.000514637,0.000196773,0.000650864,0.000847637,0.000469228,0.000635728
cottondust KR,1.51E-05,0,0,0,0,0,0
cottondust NR,0.000650864,0.000454091,0.000181637,0.000242182,0.000787092,0.000211909,0.000333
aspergilus LR,0.000423819,0.000287591,0.000121091,0.000136227,0.000741683,0.000272455,0.000257318
aspergilus HR,0.000469228,0.000408682,0.000121091,0.000242182,0.000423819,0.000211909,0.000317864
aspergilus MR,0.000681137,0.000333,0.000196773,0.000756819,0.000983865,0.000423819,0.000317864
aspergilus KR,4.54E-05,0,1.51E-05,1.51E-05,0,3.03E-05,0
aspergilus NR,0.000560046,0.000333,0.000181637,0.000287591,0.00071141,0.000317864,0.000363273
pollen LR,0.000363273,7.57E-05,7.57E-05,0.000136227,0.000408682,0.000181637,0.0001665
pollen HR,0.000741683,0.000529773,0.000181637,0.000469228,0.000802228,0.00054491,0.000514637
pollen MR,0.00087791,0.000529773,0.000333,0.000696273,0.001407683,0.000484364,0.000514637
pollen KR,1.51E-05,1.51E-05,0,4.54E-05,0,0,0
pollen NR,0.000181637,0.000211909,4.54E-05,9.08E-05,0.000242182,4.54E-05,6.05E-05
parthenium LR,0.0001665,9.08E-05,6.05E-05,0.000121091,0.000227046,7.57E-05,0
parthenium HR,0.001074683,0.000741683,0.000317864,0.000908183,0.001362274,0.000666001,0.000787092
parthenium MR,0.000847637,0.000454091,0.000242182,0.000348137,0.001120092,0.000469228,0.000408682
