A/C,N,O,R,RU,U,UO,RO
housedust HR,0.000346704,0.000829075,0.001009964,0.000422074,0.000798927,0.000286408,0.000422074
housedust LR,7.54E-05,0.000346704,0.000437149,6.03E-05,0.000391926,0.000165815,9.04E-05
housedust MR,0.000497445,0.000708482,0.000964742,0.000271334,0.001190853,0.000301482,0.000376852
housedust NR,6.03E-05,0.000241185,0.000105519,9.04E-05,0.000391926,3.01E-05,7.54E-05
cottondust LR,0.000226111,0.000316556,0.000422074,0.000165815,0.00066326,0.000165815,0.000120593
cottondust HR,0.000150741,0.000301482,0.000361778,0.000180889,0.000542667,0.000211037,0.000105519
cottondust MR,0.000361778,0.000814001,0.000964742,0.000346704,0.000798927,0.000241185,0.000452223
cottondust KR,0,0,1.51E-05,0,1.51E-05,0,0
cottondust NR,0.000241185,0.000693408,0.000753704,0.000150741,0.000753704,0.000165815,0.000286408
aspergilus LR,0.000150741,0.000497445,0.000497445,9.04E-05,0.00066326,0.000150741,0.000180889
aspergilus HR,0.000150741,0.000542667,0.000527593,0.000165815,0.000452223,0.000150741,0.000271334
aspergilus MR,0.000422074,0.000618038,0.000798927,0.000407,0.000829075,0.000271334,0.00025626
aspergilus KR,1.51E-05,0,4.52E-05,1.51E-05,1.51E-05,1.51E-05,0
aspergilus NR,0.000241185,0.000467297,0.000648186,0.000165815,0.000814001,0.000195963,0.00025626
pollen LR,0.000135667,0.000135667,0.000391926,9.04E-05,0.000482371,0.000105519,0.000105519
pollen HR,0.000271334,0.000783853,0.000814001,0.000301482,0.000814001,0.00033163,0.000407
pollen MR,0.000497445,0.000829075,0.00107026,0.000407,0.00132652,0.000301482,0.000391926
pollen KR,0,1.51E-05,1.51E-05,1.51E-05,0,0,0
pollen NR,7.54E-05,0.000361778,0.000226111,3.01E-05,0.000150741,4.52E-05,6.03E-05
parthenium LR,9.04E-05,0.000150741,0.000195963,7.54E-05,0.000165815,4.52E-05,0
parthenium HR,0.000452223,0.001175779,0.001236075,0.000512519,0.00132652,0.000437149,0.000587889
