A/C,N,R,O,RU,UO,U,RO
housedust HR,0.060606061,0.227272727,0.143939394,0.106060606,0.071969697,0.284090909,0.106060606
housedust LR,0.052083333,0.25,0.145833333,0.041666667,0.114583333,0.333333333,0.0625
housedust MR,0.077966102,0.206779661,0.118644068,0.061016949,0.06779661,0.383050847,0.084745763
housedust NR,0.042857143,0.1,0.2,0.085714286,0.028571429,0.471428571,0.071428571
cottondust LR,0.079136691,0.18705036,0.115107914,0.079136691,0.079136691,0.402877698,0.057553957
cottondust HR,0.056451613,0.185483871,0.10483871,0.096774194,0.112903226,0.387096774,0.056451613
cottondust MR,0.06614786,0.225680934,0.147859922,0.089494163,0.062256809,0.291828794,0.116731518
cottondust KR,0,0.5,0,0,0,0.5,0
cottondust NR,0.0591133,0.216748768,0.167487685,0.049261084,0.054187192,0.359605911,0.093596059
aspergilus LR,0.055555556,0.201388889,0.145833333,0.041666667,0.069444444,0.402777778,0.083333333
aspergilus HR,0.054054054,0.216216216,0.195945946,0.074324324,0.067567568,0.27027027,0.121621622
aspergilus MR,0.075630252,0.210084034,0.113445378,0.113445378,0.075630252,0.340336134,0.071428571
aspergilus KR,0.142857143,0.428571429,0,0.142857143,0.142857143,0.142857143,0
aspergilus NR,0.063829787,0.20212766,0.127659574,0.058510638,0.069148936,0.388297872,0.090425532
pollen LR,0.06122449,0.244897959,0.06122449,0.06122449,0.071428571,0.428571429,0.071428571
pollen HR,0.0562249,0.208835341,0.156626506,0.080321285,0.088353414,0.301204819,0.108433735
pollen MR,0.075471698,0.198113208,0.125786164,0.08490566,0.062893082,0.371069182,0.081761006
pollen KR,0,0.333333333,0.333333333,0.333333333,0,0,0
pollen NR,0.052631579,0.210526316,0.263157895,0.035087719,0.052631579,0.315789474,0.070175439
parthenium LR,0.076923077,0.25,0.134615385,0.096153846,0.057692308,0.384615385,0
parthenium HR,0.065616798,0.199475066,0.144356955,0.089238845,0.076115486,0.322834646,0.102362205
parthenium MR,0.065384615,0.219230769,0.130769231,0.053846154,0.069230769,0.376923077,0.084615385
parthenium KR,0,0,1,0,0,0,0
parthenium NR,0.032258065,0.193548387,0.129032258,0.096774194,0.064516129,0.387096774,0.096774194
cockroach LR,0.025641026,0.153846154,0.166666667,0.115384615,0.051282051,0.397435897,0.08974359
cockroach HR,0.085798817,0.201183432,0.112426036,0.085798817,0.068047337,0.343195266,0.103550296
cockroach MR,0.05907173,0.248945148,0.156118143,0.067510549,0.080168776,0.329113924,0.05907173
cockroach KR,0,0.4,0.2,0,0,0.4,0
cockroach NR,0.029850746,0.164179104,0.179104478,0.029850746,0.089552239,0.388059701,0.119402985
catdander LR,0,0.25,0.25,0.083333333,0,0.333333333,0.083333333
catdander HR,0,0,0,0,0,0.6,0.4
catdander KR,0.063636364,0.212121212,0.142424242,0.077272727,0.071212121,0.351515152,0.081818182
catdander MR,0,0.25,0,0.25,0,0.5,0
catdander NR,0.113636364,0.181818182,0.090909091,0.068181818,0.113636364,0.272727273,0.159090909
dosfur LR,0.09375,0.125,0.0625,0.1875,0.15625,0.21875,0.15625
dosfur HR,0.111111111,0.111111111,0.111111111,0.222222222,0.111111111,0.333333333,0
dosfur KR,0.063593005,0.213036566,0.13990461,0.07154213,0.069952305,0.360890302,0.081081081
dosfur MR,0.04,0.12,0.24,0.04,0.04,0.28,0.24
