A/C,N,R,O,RU,UO,U,RO
housedust HR,0.000242516,0.000909435,0.000575976,0.000424403,0.000287988,0.001136794,0.000424403
housedust LR,7.58E-05,0.000363774,0.000212202,6.06E-05,0.00016673,0.000485032,9.09E-05
housedust MR,0.000348617,0.000924593,0.000530504,0.000272831,0.000303145,0.00171277,0.000378931
housedust NR,4.55E-05,0.000106101,0.000212202,9.09E-05,3.03E-05,0.000500189,7.58E-05
cottondust LR,0.00016673,0.000394089,0.000242516,0.00016673,0.00016673,0.000848806,0.000121258
cottondust HR,0.000106101,0.000348617,0.000197044,0.000181887,0.000212202,0.000727548,0.000106101
cottondust MR,0.000257673,0.000879121,0.000575976,0.000348617,0.000242516,0.001136794,0.000454718
cottondust KR,0,1.52E-05,0,0,0,1.52E-05,0
cottondust NR,0.000181887,0.000666919,0.000515347,0.000151573,0.00016673,0.00110648,0.000287988
aspergilus LR,0.000121258,0.00043956,0.000318302,9.09E-05,0.000151573,0.000879121,0.000181887
aspergilus HR,0.000121258,0.000485032,0.00043956,0.00016673,0.000151573,0.00060629,0.000272831
aspergilus MR,0.000272831,0.000757863,0.000409246,0.000409246,0.000272831,0.001227738,0.000257673
aspergilus KR,1.52E-05,4.55E-05,0,1.52E-05,1.52E-05,1.52E-05,0
aspergilus NR,0.000181887,0.000575976,0.000363774,0.00016673,0.000197044,0.00110648,0.000257673
pollen LR,9.09E-05,0.000363774,9.09E-05,9.09E-05,0.000106101,0.000636605,0.000106101
pollen HR,0.000212202,0.000788177,0.000591133,0.000303145,0.00033346,0.001136794,0.000409246
pollen MR,0.000363774,0.000954907,0.00060629,0.000409246,0.000303145,0.001788556,0.000394089
pollen KR,0,1.52E-05,1.52E-05,1.52E-05,0,0,0
pollen NR,4.55E-05,0.000181887,0.000227359,3.03E-05,4.55E-05,0.000272831,6.06E-05
parthenium LR,6.06E-05,0.000197044,0.000106101,7.58E-05,4.55E-05,0.000303145,0
parthenium HR,0.000378931,0.001151951,0.000833649,0.000515347,0.00043956,0.001864343,0.000591133
parthenium MR,0.000257673,0.000863964,0.000515347,0.000212202,0.000272831,0.001485411,0.00033346
parthenium KR,0,0,1.52E-05,0,0,0,0
parthenium NR,1.52E-05,9.09E-05,6.06E-05,4.55E-05,3.03E-05,0.000181887,4.55E-05
cockroach LR,3.03E-05,0.000181887,0.000197044,0.000136415,6.06E-05,0.000469875,0.000106101
cockroach HR,0.00043956,0.001030693,0.000575976,0.00043956,0.000348617,0.001758242,0.000530504
cockroach MR,0.000212202,0.000894278,0.000560818,0.000242516,0.000287988,0.001182266,0.000212202
cockroach KR,0,3.03E-05,1.52E-05,0,0,3.03E-05,0
cockroach NR,3.03E-05,0.00016673,0.000181887,3.03E-05,9.09E-05,0.000394089,0.000121258
catdander LR,0,4.55E-05,4.55E-05,1.52E-05,0,6.06E-05,1.52E-05
catdander HR,0,0,0,0,0,4.55E-05,3.03E-05
catdander KR,0.000636605,0.002122016,0.001424782,0.00077302,0.000712391,0.003516484,0.000818492
catdander MR,0,1.52E-05,0,1.52E-05,0,3.03E-05,0
catdander NR,7.58E-05,0.000121258,6.06E-05,4.55E-05,7.58E-05,0.000181887,0.000106101
dosfur LR,4.55E-05,6.06E-05,3.03E-05,9.09E-05,7.58E-05,0.000106101,7.58E-05
dosfur HR,1.52E-05,1.52E-05,1.52E-05,3.03E-05,1.52E-05,4.55E-05,0
